OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__WPS-2;c__;o__	64.7207441717	2.9464552985e-13	1.15519755354e-12	7.27774458729e-11	2.71583848382e-05	0.0	0.0	0.0	3.42492722422e-05
k__Bacteria;p__GN02;c__GKS2-174;o__	63.5851391136	5.11020031458e-13	1.97221793391e-12	1.2622194777e-10	0.0	0.000750415553586	0.0	0.0	0.000489055103519
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	63.0593603897	6.59346444915e-13	2.50551649068e-12	1.62858571894e-10	0.0126042148764	0.00291010498661	0.000369652479176	0.0	0.000740652437055
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	60.8732468396	1.90098326522e-12	7.11428585619e-12	4.69542866509e-10	0.00815902712166	0.000352185392723	1.07233446879e-05	0.00635565292904	0.000988944282887
k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__	55.4413382036	2.62579566985e-11	9.6801720963e-11	6.48571530452e-09	8.80207306425e-07	0.0	0.00012229043879	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__	53.9794714488	5.31502736402e-11	1.90262573756e-10	1.31281175891e-08	0.000179337991287	0.0	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;Other	53.9794714488	5.31502736402e-11	1.90262573756e-10	1.31281175891e-08	2.41702891617e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	46.5435184228	1.89803687372e-09	6.69735868297e-09	4.68815107808e-07	0.00453434943453	0.00102922778246	0.00148987868636	6.93577472604e-06	0.000477705464541
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	45.2309328179	3.5597890294e-09	1.23840547924e-08	8.79267890262e-07	2.38639868649e-05	6.81547906164e-06	2.96396021706e-06	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	44.5522146888	4.92628862979e-09	1.68999068272e-08	1.21679329156e-06	0.000260918249455	5.37354898054e-05	7.16961060949e-05	0.000635783528526	7.56466056221e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	44.3307965484	5.4768344252e-09	1.85312068907e-08	1.35277810302e-06	4.35853116338e-05	6.60561681805e-05	9.90706006283e-06	0.0	0.000283490068093
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	43.6424035473	7.61221405322e-09	2.54083360966e-08	1.88021687115e-06	5.06272058772e-05	0.0	0.0	0.0	1.75499559496e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	43.4451114304	8.36509922872e-09	2.75490601266e-08	2.06617950949e-06	4.16501876774e-05	0.000236747107774	4.09546738567e-05	0.0	0.000298102640943
k__Bacteria;p__Actinobacteria;c__OPB41;o__	43.0405883382	1.01491355423e-08	3.17321073285e-08	2.50683647895e-06	4.30118293656e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__	43.0405883382	1.01491355423e-08	3.17321073285e-08	2.50683647895e-06	1.43894791992e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	43.0405883382	1.01491355423e-08	3.17321073285e-08	2.50683647895e-06	8.98518939273e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales	43.0405883382	1.01491355423e-08	3.17321073285e-08	2.50683647895e-06	4.86921449413e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	41.8920095933	1.75639086102e-08	5.42285678339e-08	4.33828542671e-06	4.40103653212e-07	0.000300026358816	1.20283109049e-05	0.0	0.000646666693029
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	41.1247823681	2.53258420953e-08	7.72281851547e-08	6.25548299753e-06	0.0	0.0	0.0	0.0	0.000176802217776
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	37.8715999345	1.19102322726e-07	3.58759435528e-07	2.94182737133e-05	3.46261811482e-05	3.1910579637e-05	3.24967056465e-06	0.0	0.000180862320955
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14	36.9840778323	1.81495896079e-07	5.40114293152e-07	4.48294863316e-05	0.0	0.000135591301176	0.0	0.0	0.000215644488719
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	36.4256166873	2.36520444708e-07	6.95482736225e-07	5.84205498429e-05	0.0	0.0	0.000157635489386	0.0	0.000178221718094
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46	34.1319785908	7.00159150989e-07	2.03458012111e-06	0.000172939310294	1.07398194459e-05	0.000487370064067	1.07704573409e-05	0.0	0.00017949610727
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales	32.2697077187	1.68500970789e-06	4.73311184554e-06	0.000416197397848	6.33550686227e-06	0.0	0.0	0.0	6.51463382931e-05
k__Bacteria;p__OP11;c__OP11-4;o__	32.211244146	1.73203266669e-06	4.73311184554e-06	0.000427812068671	0.0	0.000973054654811	0.0	0.0	0.000184204105892
k__Bacteria;p__Bacteroidetes;Other;Other	32.1736715292	1.76294044449e-06	4.73311184554e-06	0.00043544628979	3.18141503808e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__	32.1736715292	1.76294044449e-06	4.73311184554e-06	0.00043544628979	2.32021602628e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08	32.1736715292	1.76294044449e-06	4.73311184554e-06	0.00043544628979	5.92276559833e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	32.1736715292	1.76294044449e-06	4.73311184554e-06	0.00043544628979	2.15207214176e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__34P16	32.1736715292	1.76294044449e-06	4.73311184554e-06	0.00043544628979	6.50324275705e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	31.7488841652	2.15301384687e-06	5.71821957179e-06	0.000531794420177	1.36837765521e-05	0.0	8.10615625242e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	29.7976335784	5.38134562706e-06	1.41403443605e-05	0.00132919236988	5.0355865826e-06	0.000441504458883	0.000201006171576	0.0	8.8193951981e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	29.7329277965	5.54698397802e-06	1.44221583428e-05	0.00137010504257	0.000121829699816	0.000408986039972	0.000142805930458	0.0	0.000366978122695
k__Bacteria;p__OP11;c__OP11-3;o__	29.516717621	6.13814568024e-06	1.57929373231e-05	0.00151612198302	0.0	0.000377040126646	0.0	0.0	0.000156654177575
k__Bacteria;p__OD1;c__;o__	29.2124987924	7.07758394061e-06	1.80223013745e-05	0.00174816323333	0.0	0.000355306400374	0.0	0.0	0.000116956692505
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	28.5467441338	9.66247102718e-06	2.43533708542e-05	0.00238663034371	0.000181255955545	0.000352996766575	8.98765252762e-05	0.0	5.0195298125e-05
k__Bacteria;p__GN02;c__BD1-5;o__	26.9138927026	2.06918359121e-05	5.16250855584e-05	0.00511088347028	4.40103653212e-07	0.000353010011992	2.64836439749e-05	0.0	0.000231572303387
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	26.6293480709	2.36206585158e-05	5.8343026534e-05	0.0058343026534	8.78187779515e-05	0.000198752565478	1.02877111818e-05	0.0	9.16742412481e-06
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	26.3928609982	2.63658765348e-05	6.4478925783e-05	0.00651237150408	0.000369425250643	0.000926110270349	0.00048037417021	0.0	0.000387653692
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	26.0937266802	3.02969285355e-05	7.31030920341e-05	0.00748334134827	1.60771028158e-05	0.0	4.05523248062e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	26.080451434	3.04842853421e-05	7.31030920341e-05	0.00752961847951	0.0	0.0	0.0	0.0	0.000114616057284
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101	25.1481957285	4.69731471715e-05	0.000111561224532	0.0116023673514	1.85469335968e-06	0.0	2.7641497096e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	24.5258290352	6.26502579507e-05	0.000147377273465	0.0154746137138	0.0	0.0	2.45266033468e-05	0.00105163169581	9.18644762556e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	23.9651594904	8.11694749315e-05	0.000189140191586	0.0200488603081	1.33476069351e-05	2.2602343411e-06	8.92956264366e-05	0.0	1.39890016343e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329	23.9307741154	8.24677058807e-05	0.000190369377126	0.0203695233525	1.02525473356e-05	0.0	0.0	0.0	3.71026017863e-05
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45	23.7217417378	9.0815422708e-05	0.000207698235267	0.0224314094089	1.63884052033e-05	8.31165038323e-06	3.84703907853e-05	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__	23.2389304867	0.000113441331146	0.000257064300854	0.0280200087931	0.0	0.0	2.33883041561e-05	0.0	0.0
k__Bacteria;p__OP3;c__BD4-9;o__	22.5758302951	0.000153885940438	0.000345543884438	0.0380098272881	0.0	0.000150070031973	0.0	0.0	2.56432824783e-05
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	21.9767805143	0.000202564631541	0.000450751927845	0.0500334639907	8.40919879263e-05	0.000122536128133	7.14098194926e-06	3.61141206212e-05	8.66908129196e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	21.6150375063	0.000239063286954	0.00052721992748	0.0590486318777	0.000577475145051	0.000887032332485	0.000933558038347	0.000825191950716	0.00150637471241
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	21.5751843385	0.000243463213187	0.000532171802275	0.0601354136571	3.13390269043e-05	0.000386928820944	1.10492359205e-05	0.0	0.000293083354659
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	21.5101358538	0.000250817878376	0.000543438736481	0.0619520159589	2.0704274548e-05	1.83137034331e-05	8.5261698441e-05	0.0	0.000128546889391
k__Bacteria;p__TM7;c__TM7-1;o__	21.4896104462	0.00025318396757	0.000543795130345	0.0625364399897	2.11999241891e-07	0.000117347836747	0.0	0.0	0.000545757881088
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	21.3782475802	0.000266412427333	0.000557659911451	0.0658038695512	3.51674763746e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;Other;Other	21.3782475802	0.000266412427333	0.000557659911451	0.0658038695512	2.63424709183e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__	21.3782475802	0.000266412427333	0.000557659911451	0.0658038695512	1.55458840299e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__	21.2026826193	0.000288671675072	0.000599175661705	0.0713019037428	3.74162476353e-05	0.0	0.0	0.0	2.78005275662e-05
k__Bacteria;p__TM7;c__TM7-3;o__	20.4090924595	0.00041458745336	0.000853359174833	0.10240310098	8.50818552565e-06	0.000548663755051	5.44155497875e-06	0.0	5.29665242928e-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales]	20.3625834611	0.000423460749207	0.000864419876481	0.104594805054	8.84611138745e-06	0.000158594103544	0.0	0.0	8.9698577657e-05
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88	19.6946179165	0.000573706893073	0.0011615213327	0.141705602589	0.0	0.000199850527172	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87	19.6282734417	0.00059124357381	0.00118729400594	0.146037162731	0.0	0.000402552296897	0.0	0.0	0.000101849719207
k__Bacteria;p__GN02;c__3BR-5F;o__	18.7787863668	0.000868617419034	0.00173022985888	0.214548502501	0.0	0.0	0.0	0.0	0.000230700987733
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales	18.1562060947	0.00115029368363	0.00227298031885	0.284122539856	4.20185370444e-06	0.0	0.0	0.0	5.80658441425e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29	17.5198378328	0.00153130521776	0.00300184435544	0.378232388786	0.0	0.000306219339085	0.0	0.0	0.000283037370939
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	17.4673926557	0.0015677675504	0.00304912271613	0.387238584948	1.11073623841e-05	7.68325110884e-05	0.0	0.0	0.0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10	16.4165506194	0.00250824307823	0.00481369432293	0.619536040322	0.0	0.000131756965784	0.0	0.0	0.000309943978918
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12	16.376852227	0.00255301196884	0.00481369432293	0.630593956303	0.0	0.0	0.0	0.0	6.39243990866e-05
